"id";"execution_time";"resources_used";"dataset_content";"strategy_param";"num_kernels";"num_branches";"tree_depth";"pruned_branches";"file_name";"boundary";"optimal_solution";"div_conq";"sw_size";"kernel_remainder";"alpha";"num_formulae"
7058;1.11516;"37340 KB";"[""A0&&A1"", ""!A0||A0"", ""A0&&A0"", ""!A0"", ""A1"", ""(A1||A0)||A1"", ""(A2&&(A0||A0))||(A2||A1)"", ""(!A2&&A1)||A0"", ""!(A2||A0)"", ""A1&&A0"", ""A2&&A0""]";"3";5;4;4;0;"data/SRS/Dataset_A/sig3_5_15/srs_49.txt";1.0;"[""A2&&A0"", ""A1&&A0"", ""A0&&A0"", ""A0&&A1""]";1;5;"kernel";"A0&&!A0";11
7059;1.18693;"37360 KB";"[""A0&&A1"", ""!A0||A0"", ""A0&&A0"", ""!A0"", ""A1"", ""(A1||A0)||A1"", ""(A2&&(A0||A0))||(A2||A1)"", ""(!A2&&A1)||A0"", ""!(A2||A0)"", ""A1&&A0"", ""A2&&A0""]";"3";5;4;4;0;"data/SRS/Dataset_A/sig3_5_15/srs_49.txt";1.0;"[""A2&&A0"", ""A1&&A0"", ""A0&&A0"", ""A0&&A1""]";1;10;"kernel";"A0&&!A0";11
7060;1.85974;"37388 KB";"[""A1||(A0||(A1&&A2))"", ""!(!A0)"", ""!(!A1)"", ""!A1"", ""A2"", ""A2&&(A0&&A2)"", ""(A0&&A0)||A0"", ""A2||A1"", ""A0||(A0||A1)""]";"3";10;11;5;2;"data/SRS/Dataset_A/sig3_5_15/srs_5.txt";1.0;"[""(A0&&A0)||A0"", ""A2&&(A0&&A2)"", ""!A1"", ""!(!A0)""]";0;1;"kernel";"A0&&!A0";9
7061;2.31083;"37272 KB";"[""A1||(A0||(A1&&A2))"", ""!(!A0)"", ""!(!A1)"", ""!A1"", ""A2"", ""A2&&(A0&&A2)"", ""(A0&&A0)||A0"", ""A2||A1"", ""A0||(A0||A1)""]";"3";10;11;5;2;"data/SRS/Dataset_A/sig3_5_15/srs_5.txt";1.0;"[""(A0&&A0)||A0"", ""A2&&(A0&&A2)"", ""!A1"", ""!(!A0)""]";1;1;"kernel";"A0&&!A0";9
7062;1.31728;"37396 KB";"[""A1||(A0||(A1&&A2))"", ""!(!A0)"", ""!(!A1)"", ""!A1"", ""A2"", ""A2&&(A0&&A2)"", ""(A0&&A0)||A0"", ""A2||A1"", ""A0||(A0||A1)""]";"3";6;7;5;2;"data/SRS/Dataset_A/sig3_5_15/srs_5.txt";1.0;"[""!A1"", ""(A0&&A0)||A0"", ""A2&&(A0&&A2)"", ""!(!A0)""]";1;5;"kernel";"A0&&!A0";9
7063;4.30843;"37564 KB";"[""A0&&A0"", ""A2||A2"", ""!A1||A2"", ""!A0"", ""!A2"", ""(A2&&A1)&&A2"", ""A2"", ""!A2||(A1&&A2)"", ""!A2&&(A2&&A1)"", ""!(A1&&A1)"", ""!(A2||A2)""]";"3";15;23;6;9;"data/SRS/Dataset_A/sig3_5_15/srs_50.txt";1.0;"[""!(A2||A2)"", ""(A2&&A1)&&A2"", ""!A2||(A1&&A2)"", ""!A2&&(A2&&A1)"", ""!A2"", ""A0&&A0""]";0;1;"kernel";"A0&&!A0";11
7064;4.81293;"37480 KB";"[""A0&&A0"", ""A2||A2"", ""!A1||A2"", ""!A0"", ""!A2"", ""(A2&&A1)&&A2"", ""A2"", ""!A2||(A1&&A2)"", ""!A2&&(A2&&A1)"", ""!(A1&&A1)"", ""!(A2||A2)""]";"3";15;23;6;9;"data/SRS/Dataset_A/sig3_5_15/srs_50.txt";1.0;"[""!(A2||A2)"", ""(A2&&A1)&&A2"", ""!A2||(A1&&A2)"", ""!A2&&(A2&&A1)"", ""!A2"", ""A0&&A0""]";1;1;"kernel";"A0&&!A0";11
7065;3.75094;"37492 KB";"[""A0&&A0"", ""A2||A2"", ""!A1||A2"", ""!A0"", ""!A2"", ""(A2&&A1)&&A2"", ""A2"", ""!A2||(A1&&A2)"", ""!A2&&(A2&&A1)"", ""!(A1&&A1)"", ""!(A2||A2)""]";"3";15;26;7;12;"data/SRS/Dataset_A/sig3_5_15/srs_50.txt";1.0;"[""A2||A2"", ""(A2&&A1)&&A2"", ""!(A2||A2)"", ""A2"", ""!A2&&(A2&&A1)"", ""!A2"", ""A0&&A0""]";1;5;"kernel";"A0&&!A0";11
7066;3.36225;"37368 KB";"[""A0&&A0"", ""A2||A2"", ""!A1||A2"", ""!A0"", ""!A2"", ""(A2&&A1)&&A2"", ""A2"", ""!A2||(A1&&A2)"", ""!A2&&(A2&&A1)"", ""!(A1&&A1)"", ""!(A2||A2)""]";"3";14;22;6;9;"data/SRS/Dataset_A/sig3_5_15/srs_50.txt";1.0;"[""!A2&&(A2&&A1)"", ""A2"", ""A2||A2"", ""(A2&&A1)&&A2"", ""A0&&A0""]";1;10;"kernel";"A0&&!A0";11
7067;3.6766;"37272 KB";"[""!A2||A2"", ""(A1||A2)||(A0||A2)"", ""A1"", ""!A2"", ""!(A1&&A1)||A2"", ""A2"", ""!A2||(A0&&A1)"", ""(A1||A1)&&A0"", ""(A0||A2)||A1"", ""!(A2||A2)""]";"3";13;22;5;10;"data/SRS/Dataset_A/sig3_5_15/srs_51.txt";0.0;"[""(A1||A1)&&A0"", ""A2"", ""!(A1&&A1)||A2"", ""A1""]";0;1;"kernel";"A0&&!A0";10
7068;4.16025;"37388 KB";"[""!A2||A2"", ""(A1||A2)||(A0||A2)"", ""A1"", ""!A2"", ""!(A1&&A1)||A2"", ""A2"", ""!A2||(A0&&A1)"", ""(A1||A1)&&A0"", ""(A0||A2)||A1"", ""!(A2||A2)""]";"3";13;22;5;10;"data/SRS/Dataset_A/sig3_5_15/srs_51.txt";0.0;"[""(A1||A1)&&A0"", ""A2"", ""!(A1&&A1)||A2"", ""A1""]";1;1;"kernel";"A0&&!A0";10
7069;3.13551;"37536 KB";"[""!A2||A2"", ""(A1||A2)||(A0||A2)"", ""A1"", ""!A2"", ""!(A1&&A1)||A2"", ""A2"", ""!A2||(A0&&A1)"", ""(A1||A1)&&A0"", ""(A0||A2)||A1"", ""!(A2||A2)""]";"3";12;20;5;9;"data/SRS/Dataset_A/sig3_5_15/srs_51.txt";0.0;"[""(A1||A1)&&A0"", ""!(A1&&A1)||A2"", ""A2"", ""A1""]";1;5;"kernel";"A0&&!A0";10
7070;3.37344;"37412 KB";"[""!A2||A2"", ""(A1||A2)||(A0||A2)"", ""A1"", ""!A2"", ""!(A1&&A1)||A2"", ""A2"", ""!A2||(A0&&A1)"", ""(A1||A1)&&A0"", ""(A0||A2)||A1"", ""!(A2||A2)""]";"3";13;22;5;10;"data/SRS/Dataset_A/sig3_5_15/srs_51.txt";0.0;"[""(A1||A1)&&A0"", ""A2"", ""!(A1&&A1)||A2"", ""A1""]";1;10;"kernel";"A0&&!A0";10
7071;5.70041;"37548 KB";"[""A1&&A2"", ""!(A0&&A2)"", ""!(A1&&A2)"", ""A0||A0"", ""A0&&A2"", ""(A1&&(A2||A2))&&(A2||A2)"", ""A1&&(A0&&A2)"", ""!A2"", ""A2"", ""!(A1||A2)&&!A2"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""(A0||A1)&&A0"", ""!(A0&&A0)"", ""A2||!A2""]";"3";26;35;10;10;"data/SRS/Dataset_A/sig3_5_15/srs_52.txt";0.0;"[""(A0||A1)&&A0"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""!(A1||A2)&&!A2"", ""!A2"", ""A1&&(A0&&A2)"", ""!(A1&&A2)"", ""A0&&A2"", ""A0||A0"", ""A1&&A2""]";0;1;"kernel";"A0&&!A0";14
7072;7.01629;"37592 KB";"[""A1&&A2"", ""!(A0&&A2)"", ""!(A1&&A2)"", ""A0||A0"", ""A0&&A2"", ""(A1&&(A2||A2))&&(A2||A2)"", ""A1&&(A0&&A2)"", ""!A2"", ""A2"", ""!(A1||A2)&&!A2"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""(A0||A1)&&A0"", ""!(A0&&A0)"", ""A2||!A2""]";"3";26;35;10;10;"data/SRS/Dataset_A/sig3_5_15/srs_52.txt";0.0;"[""(A0||A1)&&A0"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""!(A1||A2)&&!A2"", ""!A2"", ""A1&&(A0&&A2)"", ""!(A1&&A2)"", ""A0&&A2"", ""A0||A0"", ""A1&&A2""]";1;1;"kernel";"A0&&!A0";14
7073;4.73701;"37340 KB";"[""A1&&A2"", ""!(A0&&A2)"", ""!(A1&&A2)"", ""A0||A0"", ""A0&&A2"", ""(A1&&(A2||A2))&&(A2||A2)"", ""A1&&(A0&&A2)"", ""!A2"", ""A2"", ""!(A1||A2)&&!A2"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""(A0||A1)&&A0"", ""!(A0&&A0)"", ""A2||!A2""]";"3";19;25;9;7;"data/SRS/Dataset_A/sig3_5_15/srs_52.txt";0.0;"[""(A0||A1)&&A0"", ""!(A1||A1)&&(A2&&(A1&&A0))"", ""!(A1||A2)&&!A2"", ""!(A1&&A2)"", ""!A2"", ""A1&&(A0&&A2)"", ""A0&&A2"", ""A0||A0""]";1;5;"kernel";"A0&&!A0";14
